tier,new_rework,brief_type,customer_approval,niche_ff_pre_approved,strategic_priority,creative_approach,value_potential_gbp,workbook_score,workbook_approval_text,workbook_e9_creative_note,workbook_b14_auto_approval_dev
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,1,165.003,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,1000,168.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,30000,255.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,35000,270.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,100000,465.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,115000,510.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,200000,765.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Starting Point,1000000,3165.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,0,100.0,Pending Approval,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,1,100.003,Pending Approval,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,1000,103.0,Pending Approval,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,30000,190.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,35000,205.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,100000,400.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,115000,445.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,200000,700.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,False,Creation/Unknown,1000000,3100.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,0,300.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,1,300.003,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,1000,303.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,30000,390.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,35000,405.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,100000,600.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,115000,645.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,200000,900.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Library Only,1000000,3300.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,0,265.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,1,265.003,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,1000,268.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,30000,355.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,35000,370.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,100000,565.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,115000,610.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,200000,865.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Starting Point,1000000,3265.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,0,200.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,1,200.003,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,1000,203.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,30000,290.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,35000,305.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,100000,500.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,115000,545.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,200000,800.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,False,True,Creation/Unknown,1000000,3200.0,Auto-Approved,,No
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,0,200.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,1,200.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,1000,203.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,30000,290.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,35000,305.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,100000,500.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,115000,545.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,200000,800.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Library Only,1000000,3200.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,0,165.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,1,165.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,1000,168.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,30000,255.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,35000,270.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,100000,465.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,115000,510.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,200000,765.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Starting Point,1000000,3165.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,0,100.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,1,100.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,1000,103.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,30000,190.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,35000,205.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,100000,400.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,115000,445.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,200000,700.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,False,Creation/Unknown,1000000,3100.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,0,300.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,1,300.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,1000,303.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,30000,390.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,35000,405.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,100000,600.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,115000,645.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,200000,900.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Library Only,1000000,3300.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,0,265.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,1,265.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,1000,268.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,30000,355.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,35000,370.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,100000,565.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,115000,610.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,200000,865.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Starting Point,1000000,3265.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,0,200.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,1,200.003,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,1000,203.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,30000,290.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,35000,305.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,100000,500.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,115000,545.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,200000,800.0,Auto-Approved,,Yes
A/T,New,Exclusive,Deferred/Unknown,True,True,Creation/Unknown,1000000,3200.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,False,False,Library Only,0,200.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,1,200.0025,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,1000,202.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,30000,275.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,35000,287.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,100000,450.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,115000,487.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,200000,700.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Library Only,1000000,2700.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,0,165.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,1,165.0025,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,1000,167.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,30000,240.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,35000,252.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,100000,415.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,115000,452.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,200000,665.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Starting Point,1000000,2665.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,0,100.0,Pending Approval,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,1,100.0025,Pending Approval,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,1000,102.5,Pending Approval,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,30000,175.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,35000,187.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,100000,350.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,115000,387.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,200000,600.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,False,Creation/Unknown,1000000,2600.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,0,300.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,1,300.0025,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,1000,302.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,30000,375.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,35000,387.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,100000,550.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,115000,587.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,200000,800.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Library Only,1000000,2800.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,0,265.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,1,265.0025,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,1000,267.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,30000,340.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,35000,352.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,100000,515.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,115000,552.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,200000,765.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Starting Point,1000000,2765.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,0,200.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,1,200.0025,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,1000,202.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,30000,275.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,35000,287.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,100000,450.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,115000,487.5,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,200000,700.0,Auto-Approved,,No
A/T,New,Competitive,Direct,False,True,Creation/Unknown,1000000,2700.0,Auto-Approved,,No
A/T,New,Competitive,Direct,True,False,Library Only,0,200.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,1,200.0025,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,1000,202.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,30000,275.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,35000,287.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,100000,450.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,115000,487.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,200000,700.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Library Only,1000000,2700.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,0,165.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,1,165.0025,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,1000,167.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,30000,240.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,35000,252.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,100000,415.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,115000,452.5,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,200000,665.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Starting Point,1000000,2665.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Creation/Unknown,0,100.0,Auto-Approved,,Yes
A/T,New,Competitive,Direct,True,False,Creation/Unknown,1,100.0025,Auto-Approved,,Yes
